ID,created,name,group
1,2025-07-29 11:14:00,Introdução ao desenvolvimento de API,API
2,2025-08-01 17:55:00,Desenvolvimento de APIs,API
3,2025-08-01 17:59:00,Boas Práticas Para APIs RESTful,API
4,2023-10-01 02:55:00,Introdução as APIs com C#,API
5,2023-10-06 16:07:00,Testes de API: Dos Manuais aos Automatizados,API
6,2024-11-16 15:23:00,Desenvolvendo APIs e Microsserviços na Claro,API
7,2025-05-06 18:55:00,Introdução a Computação em Nuvem,Cloud
8,2025-05-06 22:07:00,Microsoft Azure - Localizando Serviços por Categoria,Cloud
9,2025-05-10 15:53:00,Benefícios da Computação em Nuvem,Cloud
10,2025-05-10 16:16:00,Criando máquinas Virtuais na Azure,Cloud
11,2025-05-10 16:27:00,Tipos de Serviço de Nuvem,Cloud
12,2025-05-10 18:16:00,Componentes de Arquitetura do Azure,Cloud
13,2025-05-10 19:04:00,Construindo Arquiteturas no Azure,Cloud
14,2025-05-17 17:46:00,Computação e Rede na Azure,Cloud
15,2025-05-17 18:27:00,Configurando Recursos e Dimensionamentos em Máquinas Virtuais na Azure,Cloud
16,2025-05-17 18:30:00,"Identidade, Acesso e Segurança",Cloud
17,2025-05-17 18:30:00,Trabalhando com Ambiente Cloud na Azure,Cloud
18,2025-05-17 23:18:00,Trabalhando com Nuvem Híbrida com Azure Red Hat OpenShift (ARO),Cloud
19,2025-05-17 23:21:00,Inteligência de Documentos de IA do Azure,Cloud
20,2025-05-17 23:24:00,Trabalhando com Serviços Azure OpenAI,Cloud
21,2025-05-17 23:50:00,Análise de Sentimentos com Language Studio no Azure AI,Cloud
22,2025-05-18 00:33:00,Azure Cognitive Search: Utilizando AI Search para indexação e consulta de Dados,Cloud
23,2025-05-18 00:34:00,Serviços Cloud de Inteligência Artificial,Cloud
24,2025-05-18 00:37:00,Introdução ao Bootcamp Microsoft 50 Anos: Computação em Nuvem com Azure,Cloud
25,2025-05-18 00:39:00,Como a Computação em Nuvem Funciona,Cloud
26,2025-05-18 00:49:00,Fundamentos da Plataforma de Aplicações no Azure,Cloud
27,2025-05-18 00:51:00,Criando uma Conta Microsoft e Assinatura Azure para Estudos,Cloud
28,2025-05-18 00:57:00,Construindo Soluções Inteligentes com IA e Azure Cloud,Cloud
29,2025-05-18 00:57:00,Fundamentos da Computação em Nuvem com Azure,Cloud
30,2025-05-18 00:57:00,Microsoft 50 Anos - Computação em Nuvem com Azure,Cloud
